frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,-0.17099528,-0.35041422,-0.17268987,-0.30913305,0.023118734,0.007865754,-0.031239044,0.27318114,-0.15438479,0.055346537,0.26909378,0.10017262,-0.22627647,-0.021591261,0.16854596,-0.021692645,-0.393909,0.040085614,-0.29188737,-0.06293486,-0.16810903,-0.29389262,0.20971054,-0.20704012,-0.36794657,0.45429242,-0.09531291,-0.34794703,0.40140462,0.18288946,-0.35285452,0.12160952,0.16917066,-0.44540304,-0.12086803,0.080995455,-0.40449584,0.46203345,0.053577054000000006,-0.61655533,0.5210843,0.06297792,-0.5675154,0.372028,0.07242256400000001,-0.5917193000000001,0.4185612,0.10340213,-0.5941181,0.41404128,0.036467984,-0.5429703,0.50596094,0.13647231,-0.5493505999999999,0.49861190000000005,-0.013846986,0.012053746730089188,0.2711374759674072,-0.027106087654829025
2,-0.18381016,-0.3570066,-0.16773114,-0.30948755,0.022894822000000002,0.012538675,-0.030514273999999997,0.27033305,-0.15488614,0.05434304,0.26962364,0.10013144,-0.22571541,-0.025692936,0.16892819,-0.01712759,-0.40020487,0.049280968,-0.271022,-0.060069274000000006,-0.18646453,-0.28650132,0.21375217,-0.21351889,-0.36561540000000003,0.4564439,-0.10246981,-0.34715798,0.40691918,0.17667295,-0.33577758,0.12665334,0.17016184,-0.40927887,-0.12483827,0.08973831,-0.40343353,0.46475846,0.04538382,-0.61495805,0.5221989,0.049553737,-0.5655380999999999,0.37322766,0.058967486,-0.59088683,0.4192675,0.089684844,-0.5912651,0.41545272,0.022706728,-0.5436013000000001,0.5065626,0.12499206,-0.5454637,0.5005284000000001,-0.025180052999999997,0.011914383620023727,0.2699783444404602,-0.027377352118492126
3,-0.17859313,-0.36706966,-0.14829469,-0.30424809999999997,0.015335524,0.027593886,-0.037051994,0.26653808,-0.15340221,0.059071757,0.27147886,0.09769238,-0.21975507,-0.024674125,0.17381221,-0.012473563,-0.40155238,0.05856627,-0.27622122,-0.07157096,-0.11972572,-0.29467228,0.19701010000000002,-0.17746899,-0.37284878,0.44796115,-0.08970654,-0.33746240000000005,0.41562920000000003,0.18785284,-0.31455445,0.13677260000000002,0.18436399,-0.38557518,-0.117969215,0.11423932,-0.40214628,0.46555084,0.058228377000000005,-0.6139091999999999,0.52081525,0.07600443,-0.5599274000000001,0.37433985,0.095107764,-0.58314687,0.42284099999999997,0.12353063,-0.59035873,0.41209838,0.057663914000000004,-0.53494006,0.513846,0.14446843,-0.55198395,0.49253739999999996,-0.0031406283,0.011009881272912024,0.26900845766067505,-0.02785491570830345
4,-0.15021574,-0.386264,-0.18314679,-0.29427218,-0.006078806,-0.017440997,-0.029600888,0.2681829,-0.15389408,0.049338235999999994,0.26721165,0.10330569,-0.22462237,-0.034330014,0.14459866,-0.023918971,-0.42308235,0.05960664,-0.29855755,-0.08117867,-0.06063408,-0.31399825,0.17613807,-0.15477732,-0.38084763,0.43702585,-0.09715822,-0.34336659999999997,0.4169107,0.17841114,-0.29224554,0.14241947,0.18084884,-0.34253335,-0.113609746,0.10352867,-0.40982520000000006,0.46262664,0.047784105,-0.6156560000000001,0.53477824,0.072335556,-0.57171017,0.38627392,0.10151026,-0.58864987,0.43881800000000004,0.12682676,-0.60257953,0.42241049999999997,0.063137956,-0.5322299,0.52644515,0.13431717,-0.5635818,0.49370843,-0.008293554,0.009868673980236052,0.267697274684906,-0.025294195860624317
5,-0.20341009,-0.3746156,-0.17579489999999998,-0.3019667,0.010653725,0.018120116999999998,-0.041087344,0.2664262,-0.15306248,0.06331362,0.26501995,0.09943195,-0.2394784,0.001679661,0.15544659,-0.09654857,-0.40341035,0.031414263,-0.31572962,-0.09878829,0.05301905,-0.3416754,0.14125879,-0.081078574,-0.39334738,0.41010794,-0.06818983,-0.32952484,0.41640967,0.20066324,-0.25234535,0.14971036,0.22275375,-0.26200205,-0.119213365,0.17651449,-0.4089481,0.4483237,0.07215378,-0.6083441999999999,0.53027695,0.10456031,-0.57038164,0.38204172,0.14248002,-0.58255446,0.43731773,0.16467164,-0.60237,0.41678104,0.10361034,-0.5208361,0.5218010000000001,0.16087939,-0.56530994,0.47954732,0.024037786000000002,0.011113137006759644,0.2657230794429779,-0.026815265417099
6,-0.23546570000000003,-0.33231366,-0.20063184,-0.31473264,0.035410542,0.034252733,-0.042562302,0.27051790000000003,-0.15388502,0.067896344,0.26332054,0.09968760000000002,-0.26158565,0.032572664,0.1519998,-0.10830936,-0.36035928,0.007865109,-0.3385469,-0.08887983,0.027355911,-0.35085848,0.15570173,-0.102827355,-0.39041385,0.42790467,-0.0660564,-0.31972966,0.43336934,0.20755029,-0.23070899,0.16858685,0.24295637,-0.25457716,-0.10111626,0.20237328,-0.40300387,0.46451855,0.07707472,-0.60415864,0.5468217,0.11223631,-0.56619406,0.39695257,0.14505629,-0.57821304,0.45158306,0.16921887,-0.59818465,0.43314576,0.107283235,-0.5161644000000001,0.53657985,0.16822329,-0.5609424,0.49840525,0.029458806,0.012667020782828331,0.2669191956520081,-0.027098711580038067
7,-0.07724405,-0.34564140000000004,-0.30193985,-0.30473414,-0.027973775,-0.09040701,-0.023177095,0.28461683,-0.15486301,0.055948544,0.26293966,0.10487637,-0.28537625,0.09130377,0.15977302,-0.39757442,-0.34267163,0.07379915599999999,-0.35819122,-0.07326083,-0.042448647,-0.34445703,0.18667735,-0.14080924,-0.38030434,0.45737237,-0.07057102,-0.30372754,0.4505843,0.21042404,-0.18703234,0.19095068,0.25064078,-0.17848054,-0.08223669,0.23107803,-0.39371106,0.48836769999999996,0.080783464,-0.5978553000000001,0.5711075,0.12050056,-0.5586399000000001,0.42192265,0.15344791,-0.57030624,0.4775548,0.17733027,-0.59126306,0.45922574,0.11549634,-0.5078196,0.56276536,0.17563084,-0.5555992,0.5229823,0.03557016,0.01638572476804256,0.2737782597541809,-0.02499332278966904
8,-0.03991108,-0.31917238,-0.29271722,-0.29970682,-0.039534856,-0.069461085,-0.026314542000000003,0.28357267,-0.15570876,0.057601087,0.26445305,0.10435194,-0.2911842,0.09373053,0.14714760000000002,-0.3510768,-0.34662148,0.049337618,-0.3775848,-0.06950974,-0.05095682,-0.36187166,0.19761358,-0.1296774,-0.383394,0.46900064,-0.058647294,-0.29355744,0.46251935,0.21963517,-0.18271308,0.20122357,0.2606223,-0.16081354,-0.07287227,0.25671053,-0.38827455,0.5000074000000001,0.092807695,-0.59057087,0.5819218,0.13984041,-0.5514838000000001,0.43163365,0.1675448,-0.5621615,0.48658872,0.19338886,-0.5844394,0.47026712,0.13133676,-0.49929049999999997,0.57195526,0.19291498,-0.54989785,0.53614306,0.052584164,0.015643272548913956,0.27401286363601685,-0.02567841112613678
9,-0.021834452,-0.28910717,-0.29675868,-0.31001827,-0.025732871,-0.09147001,-0.017822687,0.28419429999999996,-0.15781094,0.052141797000000004,0.26419497,0.10741078,-0.30373922,0.10702929,0.13895293,-0.34132832,-0.33174646,0.025221687000000003,-0.39492372,-0.065122545,-0.036446504,-0.36427763,0.19563492,-0.13251464,-0.38206306,0.47065634,-0.07628514,-0.30304444,0.46373957,0.20436245,-0.19729371,0.20019397,0.24472928,-0.17917329,-0.07531152,0.23708639,-0.39197,0.502681,0.0741038,-0.5910890000000001,0.5922644,0.11800973,-0.5597685,0.44001386,0.14668699,-0.56764287,0.49558693,0.17222379999999998,-0.59048885,0.4799854,0.1100385,-0.50065017,0.57796866,0.17167437,-0.5520589,0.5439035,0.030690843,0.017159555107355118,0.2741946280002594,-0.025200080126523968
10,0.0032310956,-0.30294323,-0.28514870000000003,-0.29095435,-0.045987632,-0.081459984,-0.016930281999999998,0.27557582,-0.15863842,0.048586573,0.2704598,0.10759382,-0.30009604,0.11551111,0.14545283,-0.33425018,-0.32521647,0.043348655,-0.40542018,-0.08491710599999999,-0.008430461,-0.38655758,0.17120582,-0.119638145,-0.39494443,0.4477420999999999,-0.09164716,-0.32676342,0.45072156,0.1845521,-0.22671285,0.18873207,0.22926798,-0.219748,-0.08690687,0.21026756,-0.40922615,0.48303166,0.05227816,-0.6078745,0.57270813,0.08744465,-0.57661545,0.42249799999999993,0.12637858,-0.5848806,0.47954285,0.14801955,-0.6074440999999999,0.45963347,0.0870727,-0.5180834,0.5614375,0.1422091,-0.56862116,0.51859117,0.003941249,0.015828145667910576,0.2730178236961365,-0.02552229911088944
