frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,-0.073016524,-0.6541818,-0.08007386,0.03958852,-0.19714418,0.038568053,-0.04430625,0.25786448,0.10208444,0.04215515400000001,0.27610737,-0.14354505,0.12777688,-0.17723693,-0.12220194,-0.07016988,-0.6033165,-0.2555966,-0.08272188,0.13716879999999998,0.2710047,-0.10769984,0.41520524,0.22425893,-0.006107363,0.6899930000000001,0.16983974,0.068102136,0.71529794,-0.12876666,0.008379798,0.45563638,-0.2640938,0.05558216,0.19389433,-0.35160875,0.067134455,0.76924783,0.03386414,0.15971163,0.97021085,0.087324135,0.23751166,0.83485246,0.09999479,0.23145719,0.8891975000000001,0.067699656,0.20595905,0.8817676999999999,0.12975194,0.15842898,0.9136764,-0.0026649907,0.10179178,0.89730656,0.13591039,-0.0010755471885204317,0.2669859230518341,-0.02073030173778534
2,-0.0633556,-0.62728393,-0.031993777,0.06135347,-0.17803884,0.045508817,-0.027722478,0.26742834,0.10651686,0.022903655,0.28520945,-0.1459488,0.12924948,-0.1535411,-0.13676549999999998,-0.04647618,-0.58525443,-0.22646266,-0.11961949,0.16112253,0.24373443,-0.10147352,0.43810162,0.22013381,0.025566212999999997,0.6987314,0.17646024,0.072312005,0.734851,-0.12595105,-0.01416266,0.49270929999999996,-0.2699758,0.015419666,0.23902363,-0.37304375,0.09115499,0.7807970999999999,0.03726222,0.20048772,0.9770203000000002,0.08516541,0.27442807,0.83849955,0.07878550000000001,0.264879,0.89462256,0.050358552,0.24968961,0.8847666,0.115415104,0.18213344,0.9250666999999999,-0.0062972475,0.14796853,0.9030235999999999,0.14000541,-0.0024094115942716603,0.27631890773773193,-0.019715968519449237
3,-0.077039555,-0.5902148,-0.03353737,0.06461844,-0.16056046,0.05738665,-0.044033654000000005,0.27538297,0.10214492,0.034675818,0.29293509999999995,-0.13981256,0.14943673,-0.13402273,-0.12007326,-0.028785112999999998,-0.5457396,-0.23425038,-0.1792888,0.19060129,0.18839785,-0.11593504,0.45805883,0.197388,0.045901004,0.6982744000000001,0.19111523,0.13402073,0.736577,-0.103990056,0.030712147999999998,0.51341283,-0.25940955,0.04184265,0.25391608,-0.33969492,0.1364226,0.77863395,0.06244299999999999,0.23405084,0.97723216,0.11969354,0.31438926,0.84240043,0.13459206,0.30737904,0.8969748,0.10181180000000001,0.28055918,0.8889961,0.1633942,0.23554906,0.9203435999999999,0.028080765,0.17491609,0.9025301,0.16796923,-0.004678918048739432,0.2841590344905853,-0.018833819776773453
4,-0.08360489,-0.5875811,0.0028387435999999997,0.06725407,-0.15831994,0.07778477,-0.044570137,0.27702636,0.10092994,0.033547602999999995,0.2877185,-0.14114861,0.17796901,-0.12732406,-0.10560522,-0.029506216000000002,-0.52658886,-0.20938276,-0.2601506,0.24763864,0.22163743,-0.13470986,0.49135969999999995,0.21000263,0.06989351,0.69487655,0.18736212,0.15767789,0.72471124,-0.10521579,0.023120956,0.52960175,-0.27156845,0.00551933,0.27766192,-0.37040162,0.16717131,0.7614411999999999,0.05861280000000001,0.28911602,0.94402885,0.11062217,0.35699445,0.80204153,0.10955596,0.35079956,0.8580984,0.07989579,0.33253282,0.85006696,0.1444218,0.27240166,0.8913709999999999,0.019227114,0.23061784,0.8730339,0.16523787,-0.005511267110705376,0.2823724150657654,-0.020109336823225018
5,-0.06418307,-0.52854544,0.04847441,0.07276434,-0.11970103,0.11661886,-0.060942805999999995,0.29167163,0.09140287,0.047309055999999995,0.29212877,-0.12895831,0.13780515,-0.12117528,-0.09422094,-0.030965912999999998,-0.5063324,-0.22530216,-0.39980784,0.48388663,0.20761113,-0.18010187,0.6290579000000001,0.20966068,0.07605655,0.7397718000000001,0.16783625,0.19761041,0.7160435,-0.10883877,0.06862472,0.5516701,-0.29655329999999996,0.06785169999999999,0.31142014,-0.39497113,0.19504952,0.76762825,0.04621762,0.32518044,0.94145846,0.07978939999999998,0.39481327,0.79925466,0.07116373,0.38184714,0.85433245,0.04157762,0.37589228,0.8479804,0.10838826,0.2939083,0.88518834,-0.0046785176,0.27772033,0.8706815,0.14801253,-0.00681687518954277,0.2919002175331116,-0.018777720630168915
6,-0.06301916,-0.5087092000000001,0.07243998,0.056735504000000006,-0.10135952,0.12627193,-0.072272986,0.30391002,0.08347845,0.056783974,0.29164782,-0.12378746,0.15235288,-0.10691706,-0.05944043,-0.014305796499999999,-0.48231924,-0.1940147,-0.37343758,0.5120127,0.17240809,-0.17625587,0.6788907,0.18545720000000002,0.09067638,0.7569033000000001,0.1615633,0.24415301,0.70959735,-0.09589365,0.121793285,0.5591712,-0.2928248,0.111834764,0.30551976,-0.29940364,0.2238787,0.76659805,0.05590082,0.3469798,0.9377851999999999,0.103520714,0.41718325,0.7954543000000001,0.11629498,0.4103468,0.8489764999999999,0.08210012,0.39042687,0.84570205,0.14643706,0.33388865,0.8765261000000001,0.016085204,0.28608444,0.8693700999999999,0.16431323,-0.007744506001472473,0.2977789044380188,-0.020154505968093872
7,-0.08282793,-0.49940306,0.07863662,0.086093895,-0.10139416,0.1433928,-0.07464827,0.29593366,0.083919466,0.056624256,0.28041688,-0.13213655,0.20315853,-0.09431892,-0.0077615394,-0.022060309,-0.4285183,-0.17742343,-0.3210191,0.41838768,0.17237501,-0.12873222,0.59509826,0.20707521,0.13933142,0.68354803,0.193645,0.29320434,0.64516866,-0.07331848,0.1663552,0.50403404,-0.28133076,0.10722845,0.2522115,-0.30595922,0.27339956,0.69832295,0.082621455,0.38418713,0.8724765999999999,0.12153199,0.46785596,0.73831165,0.13362527,0.45494756,0.7894886999999999,0.098336615,0.43934548,0.78640854,0.16414467,0.3724082,0.80771536,0.037588317,0.33512965,0.8008081,0.18748659,-0.009012006223201752,0.2881752848625183,-0.02410854399204254
8,-0.11650342,-0.47616884,-0.056389815999999995,0.10351015599999999,-0.12039328,0.0833467,-0.06612714,0.2839526,0.09455469,0.04824186,0.30046737,-0.1348292,0.19462991,-0.09283554599999999,-0.05086755,-0.05100066599999999,-0.40136522,-0.24466506,-0.16103987,0.21313317,0.12656172,-0.053836428,0.44283438,0.21440405,0.15711062,0.63047564,0.24729201,0.27889693,0.6657571999999999,-0.04291597,0.11851732400000001,0.4975840999999999,-0.20626692,0.016888645,0.2523327,-0.22535017,0.27427834,0.6979432,0.12726258,0.37192434,0.88755816,0.18058981,0.46257780000000004,0.7587010999999999,0.19448718,0.4496175,0.8113600999999999,0.16006345,0.42770794,0.80364704,0.22412372,0.37140292,0.8273716999999998,0.090767406,0.32128018,0.80981135,0.23668562,-0.008942637592554092,0.2922099828720093,-0.0201372504234314
9,-0.12226995,-0.45116990000000007,-0.051997017,0.10799460000000001,-0.1092578,0.059204742000000005,-0.043587102999999995,0.29267716,0.10437561599999999,0.023647607999999997,0.31295225,-0.13791612,0.18058167,-0.07294596,-0.1069741,-0.036937065,-0.41793627,-0.24702159,0.33287308,0.24199104,0.08957894,0.19281219,0.39634156,0.24989276,0.19999011,0.6748163,0.20720616,0.24171342,0.7059986999999999,-0.10693285,0.20130481,0.46536106,-0.25521177,0.30087298,0.25345293,-0.14554597,0.25196996,0.75768024,0.0617418,0.3096156,0.9730183000000001,0.09129931,0.42378414,0.8657813,0.11726503,0.4011996,0.9119965,0.078278296,0.37908018,0.90491205,0.14227131,0.32268262,0.90628123,0.0041121487,0.271733,0.8911865,0.15300152,-0.00996974762529135,0.3028147220611572,-0.016770251095294952
10,-0.15379673,-0.4796344,-0.06267214,0.034285027999999995,-0.1250788,0.052772064,-0.034593947,0.28367427,0.10224694,0.025836196000000002,0.31116605,-0.13117054,0.12713574,-0.08720907,-0.11077067,-0.06791605,-0.4197683,-0.28440627,0.71368945,0.5431604,0.112606764,0.46991239999999995,0.51171637,0.1911915,0.24701577,0.6657367,0.20694184,0.17979696,0.72535205,-0.08201963,0.18819894,0.5043038,-0.24740025,0.43026847,0.46845585,-0.28092685,0.23067594,0.7598866,0.07832353,0.28674528,0.9754818999999999,0.11489007,0.40102994,0.87387466,0.079379216,0.36404240000000004,0.9216744,0.058789477,0.3714133,0.90815413,0.12446335,0.26279664,0.9179208000000001,0.026653491,0.27899098,0.88840497,0.17852844,-0.004378875717520714,0.2974201440811157,-0.01446180045604706
