frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,-0.36021045,-0.41453117,-0.25158885,-0.27084786,-0.051419905999999994,-0.0355624,-0.07217929,0.29660273,-0.12005612,0.07120563,0.27820924,0.081032515,0.02002787,-0.14212528,0.1008905,0.17549627,-0.50144374,-0.08829285,-0.24211031,0.5006085,-0.22461092,-0.018375434,0.5406658000000001,-0.32543904,-0.07255744,0.75131476,-0.15512478,-0.036153662999999996,0.7470524000000001,0.14799984,-0.14764294,0.5097471,0.22965524,-0.37973464,0.57643205,0.15792914,-0.07635111,0.80711585,0.0036760717999999998,-0.18747872,1.002621,0.038987264,-0.22812633,0.86406577,0.10306602,-0.20141423,0.92010915,0.111800015,-0.24246249,0.9083947,0.060170487,-0.10603891,0.95124,0.08301141,-0.19685648,0.9263226000000001,-0.037740525,-0.0004868283867835999,0.28740596771240234,-0.019511803984642032
2,-0.3860057,-0.43080005,-0.24780715,-0.26193517,-0.062611036,-0.053135145,-0.06856122,0.2934409,-0.123188496,0.066798866,0.27329352,0.084627815,0.008355501,-0.14750199,0.09893595,0.17193504,-0.5126046,-0.07731484599999999,-0.25127510000000003,0.4891722,-0.22650798,-0.022540959,0.5232178,-0.31972259999999997,-0.06845019,0.74202496,-0.1569583,-0.040522862,0.7399222,0.1450409,-0.15901828,0.5056579999999999,0.22873251,-0.3890544,0.5827544,0.15997675,-0.07458926,0.7984055,0.0013300497,-0.17567322,0.9960296000000001,0.03607978,-0.2183315,0.86218953,0.108588524,-0.18849425,0.9169457000000001,0.11323004,-0.23384139,0.9054537,0.065333806,-0.09479587,0.9420731999999999,0.0760886,-0.19490182,0.9175180000000001,-0.03623058,-0.0008811764419078828,0.28336721658706665,-0.01928034052252769
3,-0.42106485,-0.40956023,-0.26735932,-0.26681283,-0.05369844,-0.07173134,-0.058605976,0.29623368,-0.12732336,0.058192637,0.26898474,0.09043822,-0.0076572825,-0.15126371,0.08994075,0.16346982,-0.5136063,-0.08434921,-0.24540533,0.4914634,-0.25860488,-0.0044150436,0.5255251,-0.3157192,-0.050951685999999996,0.7429064999999999,-0.15229742,-0.058246367,0.73516244,0.14990729,-0.18657687,0.5025462,0.22175878,-0.4089204,0.58592695,0.13800617,-0.07449075599999999,0.79608744,0.004825945999999999,-0.17259346,0.9950664,0.03218631,-0.23096716,0.86147666,0.092599325,-0.19984037,0.9145481,0.103533015,-0.23815010000000003,0.90667677,0.049210407000000005,-0.10067849,0.93630815,0.081338026,-0.18452147,0.9197791999999999,-0.04483121599999999,-0.00020666979253292084,0.282609224319458,-0.01844257116317749
4,-0.41228542,-0.41786507,-0.23138579999999997,-0.28278333,-0.045069695,-0.04777384,-0.06397505,0.2940922,-0.12647049,0.0656262,0.2728607,0.08546796400000001,-0.0020819367,-0.1484174,0.10583739,0.17575064,-0.49724728,-0.09022133,-0.26159343,0.5324963,-0.25559407,-0.023238027,0.53165776,-0.32885790000000004,-0.05650638,0.7466191999999999,-0.15880212,-0.048323184000000005,0.7386416,0.1434865,-0.19271736,0.5140779999999999,0.20567197,-0.41860545,0.6095053,0.14346546,-0.07056996,0.7992600999999999,-0.00016590394,-0.1682094,0.99732983,0.034218535,-0.21856636,0.86337674,0.10134589,-0.18716037,0.9168315,0.10863221,-0.23062256,0.90808594,0.058427103,-0.09093126,0.93971705,0.07644893,-0.18673064,0.9211427,-0.041145336,0.0008255727589130403,0.28347647190093994,-0.020501263439655304
5,-0.40786064,-0.4012875,-0.21642081,-0.31194818,-0.020114498,-0.027347122999999997,-0.069742136,0.29307136,-0.12458995,0.074413635,0.27531469999999997,0.08014111,0.011615785,-0.14626302,0.124239966,0.19874734,-0.47206575,-0.101132385,-0.25006756,0.5982531999999999,-0.21122196,-0.041654952,0.5392812,-0.33085644,-0.06800001,0.7497189000000001,-0.15508409,-0.020297948,0.74171317,0.14309782,-0.13744234,0.5099172000000001,0.22386676,-0.34400606,0.6364356,0.15911444,-0.0648512,0.8010027,0.00295032,-0.17584772,0.99091256,0.04979863,-0.21369511,0.8489995000000001,0.107701264,-0.18717165,0.90443254,0.11876609,-0.22954684,0.895242,0.067665,-0.093131684,0.938177,0.08895557400000001,-0.18684277,0.91857135,-0.030069299,0.002335749566555023,0.2841930389404297,-0.022224418818950653
6,-0.3826865,-0.40770468,-0.17605856,-0.32189637,-0.016930431,0.015404977,-0.08638372,0.29100618,-0.114840075,0.09287131,0.27843702,0.06332329,0.043238535999999994,-0.14097762,0.14618133,0.19979872,-0.45917264,-0.11595280000000001,-0.27528977,0.59861547,-0.14847566,-0.10040276,0.52967507,-0.31167305,-0.10929832,0.7424185999999999,-0.12956326,0.0053873807,0.72814184,0.15564388,-0.08987993,0.48575482,0.24467419,-0.30589637,0.61568147,0.22384918,-0.07171354,0.7939721,0.027698588,-0.17478023,0.98534024,0.090138,-0.21116418,0.8429817,0.1471782,-0.1831539,0.89775693,0.15799218,-0.22851336,0.89046645,0.10908755,-0.08981731,0.9305704,0.12353341,-0.19133964,0.9153633,0.0100896135,0.0032437928020954128,0.28472161293029785,-0.02575839310884476
7,-0.37097013,-0.3998226,-0.14184675,-0.33622307,-0.0049449885,0.049107764000000005,-0.09641959,0.2823702,-0.105549045,0.10538886,0.27109122,0.047279716,0.049555752,-0.13413711,0.17849843,0.20501979999999997,-0.46681485,-0.07299396400000001,-0.61324346,0.5917455,-0.10002793,-0.37644565,0.5580361999999999,-0.19673376,-0.18457901,0.7114625,-0.05162347,0.019928029,0.7020021,0.17016366,0.019955002,0.45882073,0.29944962,-0.21479492,0.5377621,0.35225186,-0.10040276,0.75930864,0.07221785,-0.18669614,0.954051,0.11375393,-0.2599839,0.82222176,0.15486592,-0.23051646,0.87277174,0.17488779,-0.25592375,0.8696398999999999,0.11315247,-0.12626588,0.8900360999999999,0.17428766,-0.18592992,0.8845278,0.03541871,0.0044846348464488974,0.2767307162284851,-0.029134664684534076
8,-0.30875045,-0.3973426,-0.1359737,-0.32160896,-0.011453723999999998,0.05929892,-0.10028386,0.27930135,-0.095603794,0.10497739999999998,0.26721079999999997,0.04533082,0.06576023,-0.14648071,0.13543864,0.26016822,-0.45802328,-0.1081617,-0.73866135,0.60237956,0.07452281599999999,-0.48871099999999995,0.65409595,0.014767865,-0.21361057,0.70268685,0.03940621,0.030710412000000003,0.6804253,0.19243968,0.049954683,0.46312539999999996,0.34745404,-0.18829362,0.5359968,0.36630830000000003,-0.10574721,0.7373083,0.12782677,-0.18244517,0.92678547,0.18864918,-0.2631498,0.7950243,0.19901785,-0.23634514,0.84129024,0.23011889,-0.25125802,0.84747976,0.1658467,-0.13321856,0.85340387,0.24732581,-0.17083737,0.86969346,0.10474385,0.002346768975257873,0.2732560634613037,-0.02513648755848408
9,-0.32156175,-0.4211678,-0.101992056,-0.3316038,-0.01321964,0.06279164,-0.09997489,0.27758583,-0.09945019999999999,0.1062778,0.26958728,0.04378349,0.07134874,-0.14413042,0.15511413,0.25719827,-0.49836850000000005,-0.05195077,-0.69833213,0.57777137,-0.04740156,-0.4491481,0.577545,-0.12720655,-0.20665944,0.6956141,-0.025154307,0.047811277,0.6944033000000001,0.13664144,0.15606585,0.44091433,0.15946189,-0.08487483,0.4652669,0.22384486,-0.10202575,0.7480886999999999,0.074049935,-0.19431433,0.94079256,0.11533582,-0.270494,0.8060525,0.12439495,-0.24923307,0.85518354,0.1557934,-0.2567179,0.8572537,0.089701064,-0.14911874,0.87253606,0.18440071,-0.17080820000000002,0.8796277,0.037389252000000005,0.0031514540314674373,0.27358657121658325,-0.027833355590701103
10,-0.31531390000000004,-0.40990576,-0.16075021,-0.3249492,-0.022830717,0.0423066,-0.09957889,0.28609344,-0.09810886,0.10578906,0.27091822,0.044779748,0.071574986,-0.14177683,0.15007563,0.25087368,-0.47063988,-0.09055257,-0.63737637,0.5325338000000001,-0.101819105,-0.38766956,0.55221546,-0.16853131,-0.18863147,0.7065562,-0.029395716000000002,0.04858449,0.69754016,0.16217414,0.12454879,0.43809113,0.21906252,-0.11323219999999999,0.46034607,0.29529044,-0.091838,0.7581599,0.085297994,-0.18582986,0.9523504999999999,0.13373516,-0.260631,0.81650144,0.14076413,-0.23870718,0.8646831,0.17299491,-0.2483949,0.86880875,0.10719633,-0.13761121,0.8824270000000001,0.19944435,-0.16378510000000002,0.8934139999999999,0.05201719,0.0031050853431224823,0.2785058319568634,-0.026664555072784424
