frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,-0.28860506,-0.44532138,-0.13669543,-0.07818067,-0.15416116,0.11261129,-0.09551141,0.28052655,0.06816106,0.07884739,0.27880427,-0.11506073,0.26433945,-0.02320541,0.06728286,0.29284582,-0.44923395,-0.049398914,0.49392918,0.17309023,0.17490058,0.28070843,0.30620652,0.26377267,0.21259417,0.5772808,0.23864803,0.27671212,0.6044284000000001,-0.04503059400000001,0.25762016,0.36629918,-0.19441211,0.44296092,0.21661516,-0.09843031,0.28064215,0.64292467,0.11445457,0.43231478,0.79605156,0.16770718,0.46471480000000004,0.6440632,0.16956656,0.47332959999999996,0.6978732,0.13918878,0.45179126,0.6953648,0.20305299999999998,0.40619785,0.7489037,0.07691091,0.3580432,0.7426754,0.22169004,-0.008332006633281708,0.27966541051864624,-0.02344983443617821
2,-0.29864448,-0.45353818,-0.13398905,-0.09279088,-0.15377536,0.10959551,-0.09439760400000001,0.27986880000000003,0.06820156,0.078840934,0.27690172,-0.11510132,0.26613814,-0.02251819,0.06800135,0.284061,-0.44622219999999996,-0.055257764,0.5001599,0.16459896,0.16889715,0.2921003,0.3026904,0.2619995,0.21670511,0.572066,0.23750459,0.27533835,0.6044917,-0.045093812000000004,0.25983694,0.37303632,-0.20374659,0.44822007,0.22411714,-0.114064544,0.28147244,0.6387235,0.114472635,0.43584898,0.7868304,0.17023017,0.46281418,0.6340964,0.17278321,0.47416803,0.6874058000000001,0.14275214,0.45081788,0.6857524,0.20588502,0.41063285,0.74073744,0.07886121,0.35865435,0.73622155,0.22185138,-0.007778335362672807,0.2783852815628052,-0.023449882864952087
3,-0.31396799999999997,-0.44830190000000003,-0.15338793,-0.097971484,-0.15613164,0.09041995,-0.09100087,0.28039867,0.07186103,0.07694348,0.27740884,-0.11603047,0.26127973,-0.02686243,0.060016,0.2767908,-0.45117718,-0.05973172,0.5055778000000001,0.14999393,0.18228711,0.29892066,0.29559767,0.26551494,0.22891669,0.5667044,0.23607107,0.2800506,0.60065156,-0.048780724000000004,0.2530335,0.37253204,-0.21172462,0.44549724,0.21942579999999998,-0.14101306,0.29218146,0.6337771,0.11117014,0.45094347,0.7796135000000001,0.16440439999999998,0.47720379999999996,0.62672925,0.15966138,0.48709077,0.68117416,0.13102360000000002,0.46748984,0.6771129,0.19535717,0.42022336,0.7371091,0.07305916,0.37653676,0.72726893,0.21852228,-0.007028695195913315,0.2789037525653839,-0.02208472043275833
4,-0.34259224,-0.45168969999999997,-0.16578852,-0.118693754,-0.15686378,0.07273208,-0.08745191,0.28075475,0.07452114,0.07530848,0.27588034,-0.11729825,0.25871524,-0.033733048,0.050927818,0.2671365,-0.46158230000000006,-0.060758415999999996,0.51231945,0.13384458,0.18173438,0.31458396,0.2923349,0.2649098,0.24729829999999997,0.56322646,0.22928890000000002,0.29020903,0.5938844,-0.05535143,0.27097172,0.36798716,-0.22127729999999995,0.47196624,0.22291876,-0.15475728,0.3072747,0.624577,0.10253625,0.47943407,0.7541444,0.14977416,0.49023756,0.59945697,0.14378077,0.5044952,0.65278214,0.11496352,0.48667443,0.65041095,0.17989044,0.44167954,0.7156347,0.05944495,0.40201729999999997,0.70906675,0.20611884,-0.006071716547012329,0.27831754088401794,-0.02138855680823326
5,-0.39697057,-0.45039913,-0.11401758,-0.16693181,-0.13699186,0.08943733,-0.08524238,0.28471717,0.073319055,0.07743324,0.27145383,-0.11604788,0.25342685,-0.03987576,0.045002025,0.22595742,-0.45064598,-0.10533054,0.55884874,0.12106683,0.1710866,0.3609353,0.27811635,0.25554702,0.2707567,0.5417491999999999,0.23177749,0.30454966,0.58576715,-0.048595282999999996,0.29304856,0.38410223,-0.24195026,0.49732593,0.23366053,-0.20766282,0.32528186,0.60615164,0.1088577,0.4994452999999999,0.7283272,0.16244563,0.5059189000000001,0.57416993,0.15064347,0.5224236,0.6278534,0.12431998,0.5031131,0.6236822,0.18859091,0.46277946,0.6945416999999999,0.07018918,0.41986406,0.6837951999999999,0.21516193,-0.0039045698940753937,0.2780855000019073,-0.021364413201808933
6,-0.42692626,-0.45187968,-0.10093138,-0.18303205,-0.13127424,0.07417723,-0.07707709,0.2855317,0.08000386,0.07069334,0.2718521,-0.121310055,0.2580337,-0.03433243,0.023421835,0.21650118,-0.45001309999999994,-0.10559418,0.5911584,0.12396217,0.15002851,0.38783455,0.26922070000000003,0.24162020000000003,0.2980268,0.5321156,0.21744458,0.32080048,0.57111585,-0.06372596,0.31034318,0.36382157,-0.25108403,0.5135144,0.21299465,-0.20997617,0.34748623,0.5933411,0.09117178599999999,0.52403295,0.71441793,0.13387655,0.5314666,0.5605897,0.1177402,0.5451425999999999,0.61518776,0.091578856,0.5310144,0.60911065,0.15710023,0.48066074,0.6823723,0.04376218,0.4492143,0.66749585,0.19170886,-0.003191877156496048,0.2786918878555298,-0.02065309882164001
7,-0.47309822,-0.423883,-0.11256495,-0.18463421,-0.13266723,0.04738286,-0.060781844,0.27999127,0.09291169,0.05747792,0.27899070000000004,-0.12776709,0.24768904,-0.041471854,-0.021437072999999997,0.19556695,-0.4560048,-0.15233265,0.62872314,0.12102641,0.11367201,0.4224107,0.25626376,0.21475923,0.32782295,0.5194138,0.20135689,0.32371459999999996,0.57432187,-0.07877374,0.30817658,0.37318504,-0.273359,0.5256748,0.23684415,-0.2619686,0.36539397,0.58736587,0.07376664,0.5501499,0.7010094,0.10766306,0.5511244000000001,0.54915625,0.07589541400000001,0.5633961,0.6060088,0.05376391,0.55651075,0.5936241999999999,0.119639136,0.49578409999999995,0.67896885,0.020274583,0.48056692,0.64996153,0.16894233,-0.0016519613564014435,0.27949097752571106,-0.017427697777748108
8,-0.46144575,-0.3949284,-0.09433525,-0.12785733,-0.15511519,0.05819071,-0.054817654,0.27247432,0.09689699,0.050426856,0.28153890000000004,-0.13145539,0.23023644,-0.056045353,-0.030424668,0.16481856,-0.46310043,-0.18072268,0.6315206999999999,0.11194004,0.08626748,0.42254227,0.23427662,0.19654515,0.32884458,0.49807262,0.20445146,0.32146782,0.5713732,-0.070411414,0.3014766,0.37232667,-0.26586434,0.51925033,0.23641448,-0.2621095,0.36513823,0.57485235,0.08203464,0.5498594,0.68611073,0.11914026,0.5506619,0.5371682,0.076638386,0.56173474,0.5953201,0.058064874,0.5575356,0.5782461,0.12304145,0.49257743,0.66972774,0.032910362,0.48333335,0.6300054,0.17916083,-0.00219539925456047,0.2770066261291504,-0.01727920025587082
9,-0.38077256,-0.364087,-0.09576525,-0.033022128,-0.16808821,0.07541309,-0.054934792,0.275276,0.097142294,0.045146093,0.27558804,-0.13668984,0.21082208,-0.07406936,-0.008095836,0.10384469999999998,-0.48789203,-0.11617668,0.62746763,0.09985673,0.10392509,0.41463792,0.22924589,0.20013541,0.3275809,0.4976405,0.18919744,0.3319205,0.54702157,-0.09044208,0.33762863,0.3185845,-0.25339824,0.5565413,0.192601,-0.1971404,0.36876756,0.5645486999999999,0.06274017,0.5539199,0.67616975,0.09555860000000001,0.5521189000000001,0.5222122,0.081541136,0.5674296999999999,0.57562244,0.05363226,0.556269,0.5710184,0.11987755,0.50420094,0.6459919,0.008046852,0.47980845,0.6342108,0.15726125,-0.0048943497240543365,0.2754320204257965,-0.019773773849010468
10,-0.2642595,-0.39514494,-0.08592405,0.039493356,-0.15091849999999998,0.103811674,-0.06165345,0.27976164,0.095320344,0.04618278,0.27576396,-0.13762829,0.20747654,-0.08236759,-0.013809876,0.09762566,-0.497854,-0.12853529,0.6044431,0.06805467,0.14164168,0.39695287,0.22033066,0.22012314,0.32278,0.49312517,0.19838926,0.35207316,0.5188218,-0.08168910000000001,0.38410938,0.26134622,-0.1896866,0.6045423000000001,0.1715118,-0.083134174,0.375835,0.54998285,0.07137157,0.56254655,0.6574774,0.11544764,0.5545111999999999,0.50243646,0.11252785,0.5754935,0.55304456,0.08280295,0.55651104,0.55399036,0.14745647,0.5213846,0.62243545,0.02430929,0.47946364,0.6237165,0.1708137,-0.007735334336757659,0.2777628004550934,-0.021153971552848816
